,Award Mean,Award Sum,Company Count,Year,city_state,creative_employees,creative_establishments,empowerment_zone,median_household_income,performance_amount,performance_count,recipient_amount,recipient_count,regular_employees,regular_establishments,total_earned_bachelor,total_earned_graduate_degree,total_foreign,total_less_than_bachelor,total_native,total_population,Score_invented,Score_assigned,percent_creative_class,scaled_perc_creative_class,creative_establishment_ratio,company_count_perc,percent_bachelors,percent_graduate,percent_foreign_born,scaled_population,recipient_mean,performance_mean,Patents,inventor_patents
46,0.0,0.0,0.0,2001,cupertino_ca,680.0,122.0,1,100411.0,0.0,0.0,0.0,0.0,18709.0,2754.0,11447.0,11610.0,21659.0,14014.0,28998.0,50546.0,4.79033228046,4.29103176079,0.0350714322554,0.0346241353256,0.0424200278164,0.0,0.308785843382,0.313182811362,0.428500771574,10.8306390917,0.0,0.0,288,1623
47,289351.491525,17071738.0,59.0,2001,dayton_oh,2818.0,386.0,0,27423.0,16865087.44,21.0,392991058.78,2524.0,90321.0,6337.0,10877.0,4924.0,3245.0,108815.0,162948.0,166179.0,3.56176991972,3.84344414742,0.0302558541535,0.0346182892804,0.0574148445634,0.00877584411721,0.0872841368685,0.0395133851191,0.0195271364011,12.0208207996,155701.687314,803099.401905,269,176
48,217574.0,21104678.0,97.0,2001,boulder_co,0.0,482.0,0,44748.0,9797199.81,55.0,363892325.46,4604.0,51699.0,9968.0,23684.0,17332.0,10829.0,39688.0,83681.0,94673.0,4.3185973632,4.13997126066,0.0,0.0,0.0461244019139,0.00928229665072,0.293467486122,0.214760111023,0.114383192674,11.4581841276,79038.2983189,178130.905636,262,534
49,0.0,0.0,0.0,2001,peoria_il,56.0,280.0,1,36397.0,0.0,0.0,0.0,0.0,52283.0,5191.0,13655.0,7437.0,4978.0,62767.0,107914.0,112936.0,3.446030098,3.74806746975,0.00106994784004,0.00116255151211,0.0511789435204,0.0,0.16283285038,0.088684577684,0.0440780619112,11.6345765656,0.0,0.0,260,121
50,62633.3333333,187900.0,3.0,2001,norwalk_ct,254.0,137.0,0,59839.0,107198.59,1.0,29441727.59,321.0,43555.0,4999.0,13328.0,7783.0,16800.0,43632.0,66151.0,82951.0,3.4726577164,3.93745709188,0.00579789540962,0.00619655554086,0.0266744548287,0.000584112149533,0.205860092983,0.120213768284,0.202529203988,11.326005351,91718.7775389,107198.59,260,67
51,154858.235294,2632590.0,17.0,2001,sanfrancisco_ca,35748.0,3556.0,1,55221.0,31003441.02,54.0,1298748028.12,3751.0,632182.0,59880.0,186631.0,98809.0,285541.0,379338.0,491192.0,776733.0,5.0298733112,4.45676549939,0.0535205785037,0.0717814715758,0.0560564978876,0.000267986632196,0.280741841637,0.14863458177,0.36761795881,13.562851941,346240.476705,574137.796667,257,1831
52,238064.333333,714193.0,3.0,2001,beaverton_or,303.0,99.0,0,47863.0,0.0,0.0,19247990.88,311.0,36009.0,4221.0,13797.0,6389.0,14005.0,36694.0,61913.0,76129.0,4.1774711028,4.14336258861,0.00834434897555,0.00876148593818,0.0229166666667,0.000694444444444,0.242563291139,0.11232419128,0.183964061002,11.2401845488,61890.6459164,0.0,249,524
53,191361.166667,9185336.0,48.0,2001,madison_wi,281.0,407.0,0,41941.0,0.0,0.0,84103528.0,579.0,111032.0,10212.0,40898.0,26859.0,18792.0,103430.0,188733.0,208054.0,4.07304683922,4.02360046073,0.00252441314132,0.00293339365057,0.0383275261324,0.00452019964215,0.238908328319,0.156898596272,0.0903227046824,12.2455529404,145256.525043,0.0,249,348
54,196666.666667,1770000.0,9.0,2001,marlborough_ma,148.0,63.0,0,56879.0,69712747.0,11.0,200969823.0,332.0,21313.0,1631.0,6262.0,3363.0,5857.0,18259.0,30398.0,36255.0,3.7934182359,4.01547943545,0.00689623037137,0.00687829507845,0.0371900826446,0.00531286894923,0.224573231961,0.120606799598,0.161550131016,10.4983325818,605330.792169,6337522.45455,245,117
55,174883.043478,4022310.0,23.0,2001,baltimore_md,12227.0,1331.0,1,30078.0,18659605.7,36.0,772113383.14,3839.0,318114.0,23364.0,49588.0,37178.0,29638.0,403288.0,621516.0,651154.0,4.06393852401,4.04437506487,0.0370132681078,0.0470360196662,0.0538975501114,0.000931362624013,0.101188848576,0.0758651087431,0.0455161144675,13.3865014524,201123.569456,518322.380556,243,336
56,64667.5,129335.0,2.0,2001,midland_mi,0.0,104.0,0,48444.0,0.0,0.0,8883975.0,25.0,18779.0,3864.0,7063.0,4655.0,2085.0,19296.0,39578.0,41685.0,3.90053206143,4.04721502971,0.0,0.0,0.0262096774194,0.000504032258065,0.227735861224,0.150093506159,0.0500179920835,10.6378966308,355359.0,0.0,240,209
57,0.0,0.0,0.0,2001,waukesha_wi,0.0,114.0,1,50084.0,0.0,0.0,0.0,0.0,27178.0,2872.0,9592.0,3827.0,3457.0,35432.0,60915.0,64825.0,3.47030237607,3.69436055853,0.0,0.0,0.0381781647689,0.0,0.196352172934,0.0783402591554,0.0533281912842,11.0794466104,0.0,0.0,238,127
